Family,Father,Mother,Gender,Height,Kids
107,69,66,M,69,9
107,69,66,F,66.5,9
107,69,66,F,65.5,9
107,69,66,F,65.5,9
107,69,66,F,65,9
107,69,66,F,64,9
108,69,65,M,70,7
108,69,65,M,68.5,7
108,69,65,M,67,7
108,69,65,F,65,7
108,69,65,F,64,7
108,69,65,F,63.5,7
108,69,65,F,61,7
109,69.5,64.5,M,69.7,7
109,69.5,64.5,M,68,7
109,69.5,64.5,M,60,7
109,69.5,64.5,F,65.2,7
109,69.5,64.5,F,64.5,7
109,69.5,64.5,F,63.7,7
109,69.5,64.5,F,60,7
110,69.2,64,M,71.7,4
110,69.2,64,M,66.5,4
110,69.2,64,F,65,4
110,69.2,64,F,63.5,4
112,69,63,M,69,3
112,69,63,F,67.5,3
112,69,63,F,63.5,3
113,69,63,M,72,1
114,69,63,M,73,6
114,69,63,M,70,6
114,69,63,M,70,6
114,69,63,M,64,6
114,69,63,F,66,6
114,69,63,F,62,6
115,69,63.5,M,70.5,7
115,69,63.5,M,67,7
115,69,63.5,M,66,7
115,69,63.5,F,65,7
115,69,63.5,F,63,7
115,69,63.5,F,62,7
115,69,63.5,F,61,7
116,69,63.5,M,70.5,3
116,69,63.5,F,63.7,3
116,69,63.5,F,63,3
117,69.7,62,F,62.5,1
118,69.5,62,M,73,3
118,69.5,62,M,72,3
118,69.5,62,M,69,3
119,69,62,M,73,5
119,69,62,M,71,5
119,69,62,M,71,5
119,69,62,M,69,5
119,69,62,F,63,5
121,69,62.5,M,71,8
121,69,62.5,M,70,8
121,69,62.5,M,70,8
121,69,62.5,M,69,8
121,69,62.5,F,63.5,8
121,69,62.5,F,62.5,8
121,69,62.5,F,62.5,8
121,69,62.5,F,62,8
122,69,62,M,72,4
122,69,62,M,68,4
122,69,62,F,66,4
122,69,62,F,66,4
123,69.5,61,M,70,5
123,69.5,61,M,69.5,5
123,69.5,61,M,69,5
123,69.5,61,F,63,5
123,69.5,61,F,62,5
124,69,61,M,68,9
124,69,61,M,68,9
124,69,61,M,67.5,9
124,69,61,M,64,9
124,69,61,M,63,9
124,69,61,M,63,9
124,69,61,F,63.5,9
124,69,61,F,62,9
124,69,61,F,62,9
125,69,60,M,70.5,3
125,69,60,F,68,3
125,69,60,F,62.5,3
126,69,60,M,69,4
126,69,60,M,66,4
126,69,60,F,61.7,4
126,69,60,F,60.5,4
127,69,60.5,M,69.5,1
128,68.7,70.5,M,71,2
128,68.7,70.5,F,61.7,2
129,68.5,67,M,73,3
129,68.5,67,M,71,3
129,68.5,67,F,67,3
130,68.5,66.5,M,70,11
130,68.5,66.5,M,69,11
130,68.5,66.5,M,69,11
130,68.5,66.5,M,68.7,11
130,68.5,66.5,M,68.5,11
130,68.5,66.5,M,68.5,11
130,68.5,66.5,M,68,11
130,68.5,66.5,M,68,11
130,68.5,66.5,M,68,11
130,68.5,66.5,F,63.2,11
131,68,65,M,67.5,2
131,68,65,M,66,2
132,68,65.5,M,66,2
132,68,65.5,F,64,2
133,68,65.5,M,71.7,7
133,68,65.5,M,71.5,7
133,68,65.5,M,70.7,7
133,68,65.5,M,65.5,7
133,68,65.5,F,66.5,7
133,68,65.5,F,65.2,7
133,68,65.5,F,61.5,7
134,68,65,M,72,4
134,68,65,M,72,4
134,68,65,F,68,4
134,68,65,F,66,4
135,68.5,65,M,69.2,8
135,68.5,65,M,68,8
135,68.5,65,M,66,8
135,68.5,65,M,66,8
135,68.5,65,F,62,8
135,68.5,65,F,61.5,8
135,68.5,65,F,61,8
135,68.5,65,F,60,8
136,68,64,M,71,10
136,68,64,M,68,10
136,68,64,M,68,10
136,68,64,M,67,10
136,68,64,F,65,10
136,68,64,F,64,10
136,68,64,F,63,10
136,68,64,F,63,10
136,68,64,F,62,10
136,68,64,F,61,10
137,68,64,M,66,4
137,68,64,M,63,4
137,68,64,F,65.5,4
137,68,64,F,62,4
138,68,64,M,71.2,5
138,68,64,M,71.2,5
138,68,64,M,69,5
138,68,64,M,68.5,5
138,68,64,F,62.5,5
139,68,64.5,F,62,1
140,68,64,M,69,10
140,68,64,M,67,10
140,68,64,M,66,10
140,68,64,F,66,10
140,68,64,F,66,10
140,68,64,F,65,10
140,68,64,F,65,10
140,68,64,F,65,10
140,68,64,F,64,10
140,68,64,F,63,10
141,68,63,M,70.5,8
141,68,63,M,70,8
141,68,63,M,68,8
141,68,63,M,66,8
141,68,63,M,66,8
141,68,63,F,66,8
141,68,63,F,62,8
141,68,63,F,61.5,8
142,68.5,63.5,M,73.5,4
142,68.5,63.5,M,70,4
142,68.5,63.5,M,69.5,4
142,68.5,63.5,F,65.5,4
143,68,63,M,67,1
144,68,63,M,70,4
144,68,63,M,68,4
144,68,63,F,64.5,4
144,68,63,F,64,4
145,68,63,M,71,8
145,68,63,M,68,8
145,68,63,M,66,8
145,68,63,M,65.5,8
145,68,63,M,65,8
145,68,63,F,63,8
145,68,63,F,62,8
145,68,63,F,62,8
146,68,63,M,67,6
146,68,63,M,67,6
146,68,63,M,66,6
146,68,63,F,64,6
146,68,63,F,63.5,6
146,68,63,F,61,6
147,68.5,63.5,M,68.2,1
148,68,63,M,70,1
149,68.2,63.5,M,70,5
149,68.2,63.5,M,69,5
149,68.2,63.5,M,67,5
149,68.2,63.5,M,65.5,5
149,68.2,63.5,F,64.5,5
150,68,62.5,M,68.5,1
151,68.7,62,M,67.7,2
151,68.7,62,F,61.7,2
152,68,62.5,M,66.5,1
153,68,61,M,68.5,5
153,68,61,M,68,5
153,68,61,M,64,5
153,68,61,F,63.5,5
153,68,61,F,63,5
154,68,60.2,M,66.7,1
155,68,60,M,64,7
155,68,60,F,61,7
155,68,60,F,61,7
155,68,60,F,60,7
155,68,60,F,60,7
155,68,60,F,60,7
155,68,60,F,56,7
156,68,60,M,67.5,4
156,68,60,M,67,4
156,68,60,M,66.5,4
156,68,60,F,60,4
157,68.5,59,M,69,1
158,68,59,M,68,10
158,68,59,M,65,10
158,68,59,M,64.7,10
158,68,59,M,64,10
158,68,59,M,64,10
158,68,59,M,63,10
158,68,59,F,65,10
158,68,59,F,65,10
158,68,59,F,62,10
158,68,59,F,61,10
159,67,66.2,M,72.7,5
159,67,66.2,M,72.7,5
159,67,66.2,M,71.5,5
159,67,66.2,F,65.5,5
159,67,66.2,F,63.5,5
160,67,66.5,M,71,1
162,67,65,M,69.7,6
162,67,65,M,67.5,6
162,67,65,F,65.5,6
162,67,65,F,65,6
162,67,65,F,64.5,6
162,67,65,F,63.5,6
163,67,65.5,M,70,5
163,67,65.5,M,69,5
163,67,65.5,F,65.5,5
163,67,65.5,F,65.5,5
163,67,65.5,F,63,5
164,67,65.5,M,70,4
164,67,65.5,M,67.7,4
164,67,65.5,F,63,4
164,67,65.5,F,60,4
165,67,65,M,65,3
165,67,65,F,62,3
165,67,65,F,62,3
166,67.5,65,M,71,11
166,67.5,65,M,69,11
166,67.5,65,F,64,11
166,67.5,65,F,64,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,63,11
166,67.5,65,F,62.5,11
166,67.5,65,F,62,11
167,67,64,M,71.5,4
167,67,64,M,70,4
167,67,64,M,67,4
167,67,64,M,67,4
168,67,63.5,M,71,8
168,67,63.5,M,70.2,8
168,67,63.5,M,69.2,8
168,67,63.5,M,68.5,8
168,67,63.5,M,68,8
168,67,63.5,M,67,8
168,67,63.5,M,65.5,8
168,67,63.5,F,63.5,8
169,67,63,M,69,3
169,67,63,M,68,3
169,67,63,F,63,3
170,67.5,62,M,70,5
170,67.5,62,M,69.5,5
170,67.5,62,M,69,5
170,67.5,62,M,68.5,5
170,67.5,62,F,66,5
171,67,61,M,67,1
172,66,67,M,70.5,8
172,66,67,M,70.5,8
172,66,67,M,67,8
172,66,67,M,66,8
172,66,67,M,66,8
172,66,67,F,62,8
172,66,67,F,62,8
172,66,67,F,61.5,8
173,66,67,M,72,9
173,66,67,M,65,9
173,66,67,M,65,9
173,66,67,F,67,9
173,66,67,F,64,9
173,66,67,F,64,9
173,66,67,F,62,9
173,66,67,F,60,9
173,66,67,F,60,9
174,66,66,M,66,5
174,66,66,M,65,5
174,66,66,F,67,5
174,66,66,F,66.5,5
174,66,66,F,65.5,5
175,66,66,M,72,6
175,66,66,M,68,6
175,66,66,F,66,6
175,66,66,F,65,6
175,66,66,F,62,6
175,66,66,F,61,6
176,66.5,65,M,68.7,8
176,66.5,65,M,68.5,8
176,66.5,65,M,66.5,8
176,66.5,65,M,64.5,8
176,66.5,65,F,62.5,8
176,66.5,65,F,60.5,8
176,66.5,65,F,60.5,8
176,66.5,65,F,57.5,8
177,66,65.5,M,72,5
177,66,65.5,M,71,5
177,66,65.5,M,67,5
177,66,65.5,F,66,5
177,66,65.5,F,65,5
178,66,63,M,70,1
179,66,63.5,F,64.5,2
179,66,63.5,F,62,2
180,66.5,63,M,67.2,6
180,66.5,63,M,67,6
180,66.5,63,M,65,6
180,66.5,63,F,65,6
180,66.5,63,F,65,6
180,66.5,63,F,63,6
181,66.5,62.5,M,70,7
181,66.5,62.5,M,68,7
181,66.5,62.5,F,63.5,7
181,66.5,62.5,F,62.5,7
181,66.5,62.5,F,62.5,7
181,66.5,62.5,F,62.5,7
181,66.5,62.5,F,62.5,7
182,66,61.5,M,70,1
183,66,60,M,68,4
183,66,60,M,67,4
183,66,60,M,65,4
183,66,60,F,60,4
184,66,60,M,65,1
185,66,59,M,68,15
185,66,59,M,67,15
185,66,59,M,66.5,15
185,66,59,M,66,15
185,66,59,M,65.7,15
185,66,59,M,65.5,15
185,66,59,M,65,15
185,66,59,F,65,15
185,66,59,F,64,15
185,66,59,F,63,15
185,66,59,F,62,15
185,66,59,F,61,15
185,66,59,F,60,15
185,66,59,F,58,15
185,66,59,F,57,15
186,65,67,M,66.5,4
186,65,67,M,66,4
186,65,67,M,66,4
186,65,67,F,65,4
187,65,67,F,63,1
188,65,66,M,63,4
188,65,66,F,63,4
188,65,66,F,63,4
188,65,66,F,60,4
190,65,65,M,69,9
190,65,65,M,68,9
190,65,65,M,68,9
190,65,65,F,65,9
190,65,65,F,65,9
190,65,65,F,62,9
190,65,65,F,62,9
190,65,65,F,61,9
190,65,65,F,59,9
191,65,65.5,M,70.7,2
191,65,65.5,F,65.5,2
192,65,65,M,69.2,6
192,65,65,M,69,6
192,65,65,M,68,6
192,65,65,M,67.7,6
192,65,65,F,64.5,6
192,65,65,F,60.5,6
193,65,64,M,67,6
193,65,64,M,67,6
193,65,64,F,64,6
193,65,64,F,64,6
193,65,64,F,62.5,6
193,65,64,F,60.5,6
194,65,63,M,70,2
194,65,63,F,63,2
195,65,63,M,66,3
195,65,63,M,66,3
195,65,63,F,63,3
196,65.5,63,M,71,4
196,65.5,63,M,71,4
196,65.5,63,M,69,4
196,65.5,63,F,63.5,4
197,65.5,60,M,68,5
197,65.5,60,M,68,5
197,65.5,60,M,67,5
197,65.5,60,M,67,5
197,65.5,60,F,62,5
198,64,64,M,71.5,7
198,64,64,M,68,7
198,64,64,F,65.5,7
198,64,64,F,64,7
198,64,64,F,62,7
198,64,64,F,62,7
198,64,64,F,61,7
199,64,64,M,70.5,7
199,64,64,M,68,7
199,64,64,F,67,7
199,64,64,F,65,7
199,64,64,F,64,7
199,64,64,F,64,7
199,64,64,F,60,7
200,64,63,M,64.5,1
201,64,60,M,66,2
201,64,60,F,60,2
203,62,66,M,64,3
203,62,66,F,62,3
203,62,66,F,61,3
204,62.5,63,M,66.5,2
204,62.5,63,F,57,2
136A,68.5,65,M,72,8
136A,68.5,65,M,70.5,8
136A,68.5,65,M,68.7,8
136A,68.5,65,M,68.5,8
136A,68.5,65,M,67.7,8
136A,68.5,65,F,64,8
136A,68.5,65,F,63.5,8
136A,68.5,65,F,63,8
